Defining model
Only Conv model trained
Number of epochs 200
epoch-> 0
Iteration-> 128  , Iteration_time-> 1.4531 , Iteration_loss 0.1151
Iteration-> 129  , Iteration_time-> 1.5897 , Iteration_loss 0.1150
Iteration-> 130  , Iteration_time-> 1.5334 , Iteration_loss 0.1149
Iteration-> 131  , Iteration_time-> 1.5029 , Iteration_loss 0.1148
Iteration-> 132  , Iteration_time-> 1.5054 , Iteration_loss 0.1146
Iteration-> 133  , Iteration_time-> 1.5345 , Iteration_loss 0.1149
Iteration-> 134  , Iteration_time-> 1.5425 , Iteration_loss 0.1147
Iteration-> 135  , Iteration_time-> 1.7795 , Iteration_loss 0.1148
Iteration-> 136  , Iteration_time-> 1.5103 , Iteration_loss 0.1148
Iteration-> 137  , Iteration_time-> 1.5072 , Iteration_loss 0.1147
Iteration-> 138  , Iteration_time-> 1.5371 , Iteration_loss 0.1148
Iteration-> 139  , Iteration_time-> 1.5046 , Iteration_loss 0.1146
Iteration-> 140  , Iteration_time-> 1.5473 , Iteration_loss 0.1145
Iteration-> 141  , Iteration_time-> 1.9027 , Iteration_loss 0.1146
Iteration-> 142  , Iteration_time-> 1.6134 , Iteration_loss 0.1145
Iteration-> 143  , Iteration_time-> 1.5223 , Iteration_loss 0.1146
Iteration-> 144  , Iteration_time-> 1.5424 , Iteration_loss 0.1145
Iteration-> 145  , Iteration_time-> 1.5079 , Iteration_loss 0.1145
Iteration-> 146  , Iteration_time-> 1.5922 , Iteration_loss 0.1143
Iteration-> 147  , Iteration_time-> 1.5317 , Iteration_loss 0.1144
Iteration-> 148  , Iteration_time-> 1.5130 , Iteration_loss 0.1144
Iteration-> 149  , Iteration_time-> 1.4985 , Iteration_loss 0.1145
Iteration-> 150  , Iteration_time-> 1.5399 , Iteration_loss 0.1144
Iteration-> 151  , Iteration_time-> 1.5675 , Iteration_loss 0.1144
Iteration-> 152  , Iteration_time-> 1.5441 , Iteration_loss 0.1143
Iteration-> 153  , Iteration_time-> 1.5395 , Iteration_loss 0.1143
Iteration-> 154  , Iteration_time-> 1.5028 , Iteration_loss 0.1143
Iteration-> 155  , Iteration_time-> 1.5064 , Iteration_loss 0.1141
Iteration-> 156  , Iteration_time-> 1.5767 , Iteration_loss 0.1142
Iteration-> 157  , Iteration_time-> 1.5416 , Iteration_loss 0.1141
Iteration-> 158  , Iteration_time-> 1.5116 , Iteration_loss 0.1140
Iteration-> 159  , Iteration_time-> 1.5329 , Iteration_loss 0.1142
Iteration-> 160  , Iteration_time-> 1.5036 , Iteration_loss 0.1139
Iteration-> 161  , Iteration_time-> 1.5349 , Iteration_loss 0.1140
Iteration-> 162  , Iteration_time-> 1.5003 , Iteration_loss 0.1139
Iteration-> 163  , Iteration_time-> 1.4907 , Iteration_loss 0.1140
Iteration-> 164  , Iteration_time-> 1.5992 , Iteration_loss 0.1139
Iteration-> 165  , Iteration_time-> 1.5127 , Iteration_loss 0.1138
